epoch,learning_rate,loss,val_loss
0,0.0010000000474974513,23.228500366210938,19.279281616210938
1,0.0010000000474974513,18.89727210998535,18.8879451751709
2,0.0010000000474974513,18.57122802734375,18.89889907836914
3,0.0010000000474974513,18.152780532836914,18.779457092285156
4,0.0010000000474974513,17.137962341308594,18.651330947875977
5,0.0010000000474974513,13.683745384216309,19.534276962280273
6,0.0010000000474974513,7.690976142883301,14.712838172912598
7,0.0010000000474974513,4.067800998687744,13.121164321899414
8,0.0010000000474974513,2.725029468536377,6.842604160308838
9,0.0010000000474974513,1.9436404705047607,4.188415050506592
10,0.0010000000474974513,1.439244270324707,2.8364758491516113
11,0.0010000000474974513,0.9996653199195862,3.5602428913116455
12,0.0010000000474974513,0.748757004737854,2.729501485824585
13,0.0010000000474974513,0.5646606683731079,2.6695640087127686
14,0.0010000000474974513,0.396368145942688,2.492948055267334
15,0.0010000000474974513,0.33225828409194946,2.6995630264282227
16,0.0010000000474974513,0.36751314997673035,2.9386322498321533
17,0.0010000000474974513,0.3051837384700775,2.7521395683288574
18,0.0010000000474974513,0.2613197863101959,2.9471445083618164
19,0.0010000000474974513,0.2827707827091217,3.0439980030059814
20,0.0005000000237487257,0.14434696733951569,2.347372531890869
21,0.0005000000237487257,0.05894432216882706,2.3686130046844482
22,0.0005000000237487257,0.037314437329769135,2.3793814182281494
23,0.0005000000237487257,0.025820236653089523,2.4164419174194336
24,0.0005000000237487257,0.02159884199500084,2.4121861457824707
25,0.0005000000237487257,0.01755991019308567,2.4359562397003174
26,0.0002500000118743628,0.015189173631370068,2.4512720108032227
27,0.0002500000118743628,0.013474155217409134,2.449815034866333
28,0.0002500000118743628,0.012785665690898895,2.456169843673706
29,0.0002500000118743628,0.01162305660545826,2.463700294494629
30,0.0002500000118743628,0.01087470818310976,2.46923828125
31,0.0001250000059371814,0.009950668551027775,2.4681129455566406
32,0.0001250000059371814,0.009585889056324959,2.4715819358825684
33,0.0001250000059371814,0.009618484415113926,2.4821949005126953
34,0.0001250000059371814,0.00939412135630846,2.486811637878418
35,0.0001250000059371814,0.008823323994874954,2.4899954795837402
